################################# GMF factor8 ####################################
python GMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 8 --regs [0,0] --num_neg 4 --lr 0.001 --learner Adam --verbose 1 --out 1
Init: HR = 0.1041, NDCG = 0.0463         [4.0 s]
Iteration 49 [21.4 s]: HR = 0.6480, NDCG = 0.3776, loss = 0.2631 [1.6 s]
End. Best Iteration 40:  HR = 0.6510, NDCG = 0.3762.
The best MLP model is saved to Pretrain/ml-1m_MLP_[16,32,16,8]_1736396040.h5

################################# MLP factor16 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano 
python MLP.py --dataset ml-1m --epochs 50 --batch_size 256 --layers [32,64,32,16] --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Init: HR = 0.0891, NDCG = 0.0393 [4.5]
Iteration 0 [40.6 s]: HR = 0.5285, NDCG = 0.2983, loss = 0.3444 [1.6 s]
Iteration 1 [30.6 s]: HR = 0.5836, NDCG = 0.3278, loss = 0.3031 [1.6 s]
Iteration 2 [29.8 s]: HR = 0.6247, NDCG = 0.3519, loss = 0.2837 [1.6 s]
Iteration 3 [29.9 s]: HR = 0.6387, NDCG = 0.3658, loss = 0.2727 [1.6 s]
Iteration 4 [29.9 s]: HR = 0.6379, NDCG = 0.3708, loss = 0.2663 [1.6 s]
Iteration 5 [30.2 s]: HR = 0.6533, NDCG = 0.3787, loss = 0.2620 [1.6 s]
Iteration 6 [29.9 s]: HR = 0.6586, NDCG = 0.3837, loss = 0.2585 [1.6 s]
Iteration 7 [29.7 s]: HR = 0.6639, NDCG = 0.3880, loss = 0.2563 [1.6 s]
Iteration 8 [29.9 s]: HR = 0.6690, NDCG = 0.3901, loss = 0.2541 [1.6 s]
Iteration 9 [29.7 s]: HR = 0.6730, NDCG = 0.3955, loss = 0.2526 [1.6 s]
Iteration 10 [30.0 s]: HR = 0.6727, NDCG = 0.3932, loss = 0.2510 [1.8 s]
Iteration 11 [30.0 s]: HR = 0.6679, NDCG = 0.3939, loss = 0.2499 [1.6 s]
Iteration 12 [30.4 s]: HR = 0.6785, NDCG = 0.3959, loss = 0.2490 [1.6 s]
Iteration 13 [29.8 s]: HR = 0.6763, NDCG = 0.3944, loss = 0.2483 [1.6 s]
Iteration 14 [30.3 s]: HR = 0.6705, NDCG = 0.3960, loss = 0.2475 [1.6 s]
Iteration 15 [29.8 s]: HR = 0.6780, NDCG = 0.3999, loss = 0.2468 [1.6 s]
Iteration 16 [30.0 s]: HR = 0.6776, NDCG = 0.4005, loss = 0.2462 [1.6 s]
Iteration 17 [31.0 s]: HR = 0.6820, NDCG = 0.4004, loss = 0.2457 [1.6 s]
Iteration 18 [30.3 s]: HR = 0.6775, NDCG = 0.4002, loss = 0.2450 [1.6 s]
Iteration 19 [30.1 s]: HR = 0.6826, NDCG = 0.4003, loss = 0.2448 [1.6 s]
Iteration 20 [29.8 s]: HR = 0.6783, NDCG = 0.4001, loss = 0.2442 [1.7 s]
Iteration 21 [29.6 s]: HR = 0.6811, NDCG = 0.4021, loss = 0.2440 [1.6 s]
Iteration 22 [29.7 s]: HR = 0.6786, NDCG = 0.3982, loss = 0.2435 [1.6 s]
Iteration 23 [29.8 s]: HR = 0.6833, NDCG = 0.4010, loss = 0.2433 [1.6 s]
Iteration 24 [29.4 s]: HR = 0.6783, NDCG = 0.3997, loss = 0.2429 [1.6 s]
Iteration 25 [29.8 s]: HR = 0.6773, NDCG = 0.4008, loss = 0.2427 [1.6 s]
Iteration 26 [29.9 s]: HR = 0.6783, NDCG = 0.3983, loss = 0.2424 [1.6 s]
Iteration 27 [29.6 s]: HR = 0.6801, NDCG = 0.4023, loss = 0.2418 [1.6 s]
Iteration 28 [30.0 s]: HR = 0.6805, NDCG = 0.4007, loss = 0.2419 [1.6 s]
Iteration 29 [30.2 s]: HR = 0.6815, NDCG = 0.4001, loss = 0.2418 [1.6 s]
Iteration 30 [30.0 s]: HR = 0.6805, NDCG = 0.4005, loss = 0.2415 [1.6 s]
Iteration 31 [29.8 s]: HR = 0.6828, NDCG = 0.4038, loss = 0.2411 [1.6 s]
Iteration 32 [29.9 s]: HR = 0.6844, NDCG = 0.4033, loss = 0.2414 [1.6 s]
Iteration 33 [30.1 s]: HR = 0.6828, NDCG = 0.4038, loss = 0.2410 [1.6 s]
Iteration 34 [29.7 s]: HR = 0.6823, NDCG = 0.4020, loss = 0.2406 [1.6 s]
Iteration 35 [29.5 s]: HR = 0.6801, NDCG = 0.4013, loss = 0.2408 [1.6 s]
Iteration 36 [29.6 s]: HR = 0.6836, NDCG = 0.3983, loss = 0.2405 [1.6 s]
Iteration 37 [29.5 s]: HR = 0.6798, NDCG = 0.4012, loss = 0.2402 [1.6 s]
Iteration 38 [29.7 s]: HR = 0.6853, NDCG = 0.4031, loss = 0.2402 [1.6 s]
Iteration 39 [30.1 s]: HR = 0.6805, NDCG = 0.4019, loss = 0.2402 [1.6 s]
Iteration 40 [29.8 s]: HR = 0.6844, NDCG = 0.4029, loss = 0.2401 [1.6 s]
Iteration 41 [29.6 s]: HR = 0.6823, NDCG = 0.4027, loss = 0.2399 [1.7 s]
Iteration 42 [30.1 s]: HR = 0.6783, NDCG = 0.3999, loss = 0.2398 [1.6 s]
Iteration 43 [29.9 s]: HR = 0.6760, NDCG = 0.3987, loss = 0.2395 [1.7 s]
Iteration 44 [29.5 s]: HR = 0.6829, NDCG = 0.4040, loss = 0.2393 [1.6 s]
Iteration 45 [29.2 s]: HR = 0.6836, NDCG = 0.4037, loss = 0.2393 [1.6 s]
Iteration 46 [29.7 s]: HR = 0.6843, NDCG = 0.4056, loss = 0.2392 [1.6 s]
Iteration 47 [29.9 s]: HR = 0.6831, NDCG = 0.4040, loss = 0.2391 [1.6 s]
Iteration 48 [29.7 s]: HR = 0.6795, NDCG = 0.4028, loss = 0.2392 [1.6 s]
Iteration 49 [29.5 s]: HR = 0.6816, NDCG = 0.4041, loss = 0.2391 [1.6 s]
End. Best Iteration 38:  HR = 0.6853, NDCG = 0.4031.
The best MLP model is saved to Pretrain/ml-1m_MLP_[32,64,32,16]_1736398368.h5

################################# MLP factor32 ####################################
python MLP.py --dataset ml-1m --epochs 50 --batch_size 256 --layers [64,128,64,32] --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Init: HR = 0.1073, NDCG = 0.0483 [8.2]
Iteration 0 [154.8 s]: HR = 0.5510, NDCG = 0.3102, loss = 0.3392 [9.2 s]
Iteration 1 [188.8 s]: HR = 0.6073, NDCG = 0.3418, loss = 0.2938 [11.3 s]
Iteration 2 [229.0 s]: HR = 0.6333, NDCG = 0.3652, loss = 0.2745 [13.6 s]
Iteration 3 [168.3 s]: HR = 0.6503, NDCG = 0.3802, loss = 0.2634 [10.8 s]
Iteration 4 [214.1 s]: HR = 0.6647, NDCG = 0.3894, loss = 0.2558 [12.1 s]
Iteration 5 [224.4 s]: HR = 0.6669, NDCG = 0.3955, loss = 0.2505 [11.8 s]
Iteration 6 [224.6 s]: HR = 0.6742, NDCG = 0.4018, loss = 0.2461 [11.0 s]
Iteration 7 [217.3 s]: HR = 0.6752, NDCG = 0.4063, loss = 0.2426 [10.8 s]
Iteration 8 [216.6 s]: HR = 0.6793, NDCG = 0.4046, loss = 0.2399 [10.5 s]
Iteration 9 [220.7 s]: HR = 0.6793, NDCG = 0.4075, loss = 0.2371 [13.6 s]
Iteration 10 [146.3 s]: HR = 0.6755, NDCG = 0.4047, loss = 0.2350 [8.6 s]
Iteration 11 [162.4 s]: HR = 0.6823, NDCG = 0.4107, loss = 0.2335 [9.1 s]
Iteration 12 [183.3 s]: HR = 0.6793, NDCG = 0.4089, loss = 0.2318 [9.8 s]
Iteration 13 [207.6 s]: HR = 0.6848, NDCG = 0.4107, loss = 0.2300 [8.6 s]
Iteration 14 [164.5 s]: HR = 0.6825, NDCG = 0.4122, loss = 0.2288 [7.9 s]
Iteration 15 [156.3 s]: HR = 0.6796, NDCG = 0.4096, loss = 0.2274 [9.3 s]
Iteration 16 [159.3 s]: HR = 0.6825, NDCG = 0.4102, loss = 0.2262 [6.6 s]
Iteration 17 [162.6 s]: HR = 0.6846, NDCG = 0.4125, loss = 0.2253 [9.5 s]
Iteration 18 [164.1 s]: HR = 0.6866, NDCG = 0.4149, loss = 0.2242 [8.3 s]
Iteration 19 [157.9 s]: HR = 0.6874, NDCG = 0.4167, loss = 0.2236 [8.1 s]
Iteration 20 [152.3 s]: HR = 0.6786, NDCG = 0.4124, loss = 0.2227 [7.8 s]
Iteration 21 [150.7 s]: HR = 0.6758, NDCG = 0.4091, loss = 0.2221 [9.8 s]
Iteration 22 [156.4 s]: HR = 0.6864, NDCG = 0.4173, loss = 0.2210 [8.5 s]
Iteration 23 [155.3 s]: HR = 0.6730, NDCG = 0.4094, loss = 0.2205 [8.7 s]
Iteration 24 [150.7 s]: HR = 0.6859, NDCG = 0.4149, loss = 0.2201 [8.9 s]
Iteration 25 [154.2 s]: HR = 0.6856, NDCG = 0.4157, loss = 0.2196 [14.3 s]
Iteration 26 [158.1 s]: HR = 0.6808, NDCG = 0.4157, loss = 0.2193 [8.0 s]
Iteration 27 [158.5 s]: HR = 0.6815, NDCG = 0.4164, loss = 0.2186 [9.0 s]
Iteration 28 [166.0 s]: HR = 0.6833, NDCG = 0.4146, loss = 0.2182 [8.1 s]
Iteration 29 [152.5 s]: HR = 0.6785, NDCG = 0.4136, loss = 0.2174 [10.6 s]
Iteration 30 [156.0 s]: HR = 0.6828, NDCG = 0.4157, loss = 0.2175 [7.1 s]
Iteration 31 [133.0 s]: HR = 0.6786, NDCG = 0.4130, loss = 0.2169 [7.8 s]
Iteration 32 [151.1 s]: HR = 0.6780, NDCG = 0.4114, loss = 0.2165 [10.1 s]
Iteration 33 [175.8 s]: HR = 0.6848, NDCG = 0.4149, loss = 0.2162 [7.1 s]
Iteration 34 [136.9 s]: HR = 0.6841, NDCG = 0.4152, loss = 0.2156 [7.9 s]
Iteration 35 [206.8 s]: HR = 0.6760, NDCG = 0.4101, loss = 0.2155 [18.2 s]
Iteration 36 [289.5 s]: HR = 0.6776, NDCG = 0.4102, loss = 0.2151 [9.3 s]
Iteration 37 [299.3 s]: HR = 0.6776, NDCG = 0.4073, loss = 0.2148 [11.7 s]
Iteration 38 [273.6 s]: HR = 0.6773, NDCG = 0.4115, loss = 0.2143 [13.7 s]
Iteration 39 [307.9 s]: HR = 0.6793, NDCG = 0.4132, loss = 0.2144 [14.2 s]
Iteration 40 [279.2 s]: HR = 0.6747, NDCG = 0.4075, loss = 0.2139 [14.5 s]
Iteration 41 [363.5 s]: HR = 0.6753, NDCG = 0.4094, loss = 0.2140 [19.4 s]
Iteration 42 [311.5 s]: HR = 0.6757, NDCG = 0.4108, loss = 0.2134 [21.0 s]
Iteration 43 [302.1 s]: HR = 0.6757, NDCG = 0.4083, loss = 0.2132 [12.1 s]
Iteration 44 [390.3 s]: HR = 0.6753, NDCG = 0.4091, loss = 0.2133 [17.0 s]
Iteration 45 [257.7 s]: HR = 0.6791, NDCG = 0.4104, loss = 0.2128 [14.2 s]
Iteration 46 [295.2 s]: HR = 0.6768, NDCG = 0.4083, loss = 0.2128 [21.6 s]
Iteration 47 [411.9 s]: HR = 0.6763, NDCG = 0.4087, loss = 0.2125 [21.4 s]
Iteration 48 [327.8 s]: HR = 0.6801, NDCG = 0.4119, loss = 0.2124 [16.1 s]
Iteration 49 [317.8 s]: HR = 0.6712, NDCG = 0.4066, loss = 0.2120 [11.7 s]
End. Best Iteration 19:  HR = 0.6874, NDCG = 0.4167.
The best MLP model is saved to Pretrain/ml-1m_MLP_[64,128,64,32]_1736400371.h5


################################# MLP factor32 round2 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano 
python MLP.py --dataset ml-1m --epochs 50 --batch_size 256 --layers [32,64,16,32] --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Init: HR = 0.1116, NDCG = 0.0528 [14.1]
Iteration 0 [94.6 s]: HR = 0.5207, NDCG = 0.2900, loss = 0.3481 [5.3 s]
Iteration 1 [65.6 s]: HR = 0.5758, NDCG = 0.3262, loss = 0.3064 [4.1 s]
Iteration 2 [72.6 s]: HR = 0.6066, NDCG = 0.3467, loss = 0.2865 [2.6 s]
Iteration 3 [64.9 s]: HR = 0.6167, NDCG = 0.3562, loss = 0.2774 [4.6 s]
Iteration 4 [64.3 s]: HR = 0.6283, NDCG = 0.3613, loss = 0.2715 [4.9 s]
Iteration 5 [75.8 s]: HR = 0.6440, NDCG = 0.3724, loss = 0.2661 [1.7 s]
Iteration 6 [68.6 s]: HR = 0.6556, NDCG = 0.3811, loss = 0.2615 [4.7 s]
Iteration 7 [64.4 s]: HR = 0.6553, NDCG = 0.3841, loss = 0.2584 [4.6 s]
Iteration 8 [71.5 s]: HR = 0.6601, NDCG = 0.3886, loss = 0.2557 [1.9 s]
Iteration 9 [66.7 s]: HR = 0.6652, NDCG = 0.3904, loss = 0.2536 [5.4 s]
Iteration 10 [92.2 s]: HR = 0.6575, NDCG = 0.3895, loss = 0.2522 [6.0 s]
Iteration 11 [92.2 s]: HR = 0.6642, NDCG = 0.3920, loss = 0.2507 [5.7 s]
Iteration 12 [88.3 s]: HR = 0.6603, NDCG = 0.3900, loss = 0.2498 [4.8 s]
Iteration 13 [95.3 s]: HR = 0.6704, NDCG = 0.3952, loss = 0.2489 [1.6 s]
Iteration 14 [77.5 s]: HR = 0.6699, NDCG = 0.3965, loss = 0.2478 [5.5 s]
Iteration 15 [69.0 s]: HR = 0.6685, NDCG = 0.3944, loss = 0.2471 [5.0 s]
Iteration 16 [79.5 s]: HR = 0.6722, NDCG = 0.3980, loss = 0.2464 [1.7 s]
Iteration 17 [89.5 s]: HR = 0.6637, NDCG = 0.3929, loss = 0.2459 [6.4 s]
Iteration 18 [78.9 s]: HR = 0.6692, NDCG = 0.3982, loss = 0.2454 [5.5 s]
Iteration 19 [78.8 s]: HR = 0.6740, NDCG = 0.4004, loss = 0.2450 [1.8 s]
Iteration 20 [69.9 s]: HR = 0.6745, NDCG = 0.3984, loss = 0.2443 [4.6 s]
Iteration 21 [64.7 s]: HR = 0.6778, NDCG = 0.4020, loss = 0.2444 [4.8 s]
Iteration 22 [73.6 s]: HR = 0.6760, NDCG = 0.4032, loss = 0.2435 [4.5 s]
Iteration 23 [67.5 s]: HR = 0.6821, NDCG = 0.4062, loss = 0.2434 [5.1 s]
Iteration 24 [75.0 s]: HR = 0.6745, NDCG = 0.4008, loss = 0.2428 [5.0 s]
Iteration 25 [65.1 s]: HR = 0.6690, NDCG = 0.3994, loss = 0.2426 [5.1 s]
Iteration 26 [74.8 s]: HR = 0.6714, NDCG = 0.3970, loss = 0.2425 [1.6 s]
Iteration 27 [71.5 s]: HR = 0.6748, NDCG = 0.4005, loss = 0.2423 [5.1 s]
Iteration 28 [64.4 s]: HR = 0.6689, NDCG = 0.4011, loss = 0.2419 [4.8 s]
Iteration 29 [68.4 s]: HR = 0.6755, NDCG = 0.4025, loss = 0.2420 [1.7 s]
Iteration 30 [72.5 s]: HR = 0.6705, NDCG = 0.3983, loss = 0.2412 [4.9 s]
Iteration 31 [64.5 s]: HR = 0.6745, NDCG = 0.4008, loss = 0.2414 [4.8 s]
Iteration 32 [64.1 s]: HR = 0.6745, NDCG = 0.3990, loss = 0.2409 [5.1 s]
Iteration 33 [74.6 s]: HR = 0.6694, NDCG = 0.3960, loss = 0.2408 [4.8 s]
Iteration 34 [66.6 s]: HR = 0.6733, NDCG = 0.4005, loss = 0.2408 [5.0 s]
Iteration 35 [66.2 s]: HR = 0.6717, NDCG = 0.3992, loss = 0.2405 [2.3 s]
Iteration 36 [74.5 s]: HR = 0.6758, NDCG = 0.3992, loss = 0.2403 [4.9 s]
Iteration 37 [63.0 s]: HR = 0.6788, NDCG = 0.4009, loss = 0.2403 [4.9 s]
Iteration 38 [68.5 s]: HR = 0.6732, NDCG = 0.3990, loss = 0.2400 [1.6 s]
Iteration 39 [69.6 s]: HR = 0.6752, NDCG = 0.4003, loss = 0.2401 [4.8 s]
Iteration 40 [61.3 s]: HR = 0.6752, NDCG = 0.3993, loss = 0.2398 [4.5 s]
Iteration 41 [66.9 s]: HR = 0.6768, NDCG = 0.3978, loss = 0.2397 [1.8 s]
Iteration 42 [64.1 s]: HR = 0.6758, NDCG = 0.4008, loss = 0.2396 [4.7 s]
Iteration 43 [60.2 s]: HR = 0.6778, NDCG = 0.4032, loss = 0.2396 [4.6 s]
Iteration 44 [70.1 s]: HR = 0.6742, NDCG = 0.3996, loss = 0.2395 [4.6 s]
Iteration 45 [59.5 s]: HR = 0.6772, NDCG = 0.4000, loss = 0.2393 [4.3 s]
Iteration 46 [64.3 s]: HR = 0.6748, NDCG = 0.4006, loss = 0.2391 [1.6 s]
Iteration 47 [67.0 s]: HR = 0.6775, NDCG = 0.4012, loss = 0.2390 [4.7 s]
Iteration 48 [61.0 s]: HR = 0.6786, NDCG = 0.4029, loss = 0.2390 [4.5 s]
Iteration 49 [70.9 s]: HR = 0.6778, NDCG = 0.4017, loss = 0.2390 [5.1 s]
End. Best Iteration 23:  HR = 0.6821, NDCG = 0.4062.
The best MLP model is saved to Pretrain/ml-1m_MLP_[32,64,16,32]_1736414507.h5

################################# MLP factor64 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano 
python MLP.py --dataset ml-1m --epochs 50 --batch_size 256 --layers [16,32,32,64] --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Init: HR = 0.0997, NDCG = 0.0439 [5.9]
Iteration 0 [198.9 s]: HR = 0.5123, NDCG = 0.2835, loss = 0.3485 [3.0 s]
Iteration 1 [435.6 s]: HR = 0.5684, NDCG = 0.3159, loss = 0.3139 [11.7 s]
Iteration 2 [368.7 s]: HR = 0.5969, NDCG = 0.3375, loss = 0.2940 [10.2 s]
Iteration 3 [370.6 s]: HR = 0.6061, NDCG = 0.3442, loss = 0.2858 [10.3 s]
Iteration 4 [406.9 s]: HR = 0.6121, NDCG = 0.3484, loss = 0.2815 [7.3 s]
Iteration 5 [371.6 s]: HR = 0.6146, NDCG = 0.3520, loss = 0.2788 [6.8 s]
Iteration 6 [351.8 s]: HR = 0.6295, NDCG = 0.3599, loss = 0.2767 [6.8 s]
Iteration 7 [329.4 s]: HR = 0.6273, NDCG = 0.3572, loss = 0.2750 [6.6 s]
Iteration 8 [340.2 s]: HR = 0.6228, NDCG = 0.3575, loss = 0.2736 [6.6 s]
Iteration 9 [321.9 s]: HR = 0.6276, NDCG = 0.3587, loss = 0.2727 [10.2 s]
Iteration 10 [371.4 s]: HR = 0.6306, NDCG = 0.3614, loss = 0.2717 [5.2 s]
Iteration 11 [387.0 s]: HR = 0.6326, NDCG = 0.3617, loss = 0.2709 [10.7 s]
Iteration 12 [395.1 s]: HR = 0.6359, NDCG = 0.3629, loss = 0.2703 [6.0 s]
Iteration 13 [358.9 s]: HR = 0.6316, NDCG = 0.3616, loss = 0.2694 [10.8 s]
Iteration 14 [401.8 s]: HR = 0.6308, NDCG = 0.3622, loss = 0.2688 [7.0 s]
Iteration 15 [333.1 s]: HR = 0.6339, NDCG = 0.3658, loss = 0.2687 [7.2 s]
Iteration 16 [310.6 s]: HR = 0.6386, NDCG = 0.3684, loss = 0.2680 [6.8 s]
Iteration 17 [306.9 s]: HR = 0.6359, NDCG = 0.3662, loss = 0.2675 [9.5 s]
Iteration 18 [332.1 s]: HR = 0.6387, NDCG = 0.3669, loss = 0.2670 [10.9 s]
Iteration 19 [332.7 s]: HR = 0.6389, NDCG = 0.3687, loss = 0.2667 [6.4 s]
Iteration 20 [315.5 s]: HR = 0.6341, NDCG = 0.3662, loss = 0.2666 [6.7 s]
Iteration 21 [317.7 s]: HR = 0.6422, NDCG = 0.3694, loss = 0.2662 [6.6 s]
Iteration 22 [338.7 s]: HR = 0.6366, NDCG = 0.3694, loss = 0.2659 [6.5 s]
Iteration 23 [302.9 s]: HR = 0.6477, NDCG = 0.3729, loss = 0.2656 [10.1 s]
Iteration 24 [352.6 s]: HR = 0.6422, NDCG = 0.3690, loss = 0.2652 [8.3 s]
Iteration 25 [325.1 s]: HR = 0.6440, NDCG = 0.3717, loss = 0.2650 [7.0 s]
Iteration 26 [335.1 s]: HR = 0.6407, NDCG = 0.3689, loss = 0.2651 [6.4 s]
Iteration 27 [330.1 s]: HR = 0.6414, NDCG = 0.3717, loss = 0.2646 [10.7 s]
Iteration 28 [362.7 s]: HR = 0.6444, NDCG = 0.3722, loss = 0.2644 [10.0 s]
Iteration 29 [318.5 s]: HR = 0.6425, NDCG = 0.3697, loss = 0.2643 [10.3 s]
Iteration 30 [355.8 s]: HR = 0.6407, NDCG = 0.3722, loss = 0.2645 [2.7 s]
Iteration 31 [343.6 s]: HR = 0.6381, NDCG = 0.3689, loss = 0.2640 [10.2 s]
Iteration 32 [344.9 s]: HR = 0.6404, NDCG = 0.3719, loss = 0.2639 [10.8 s]
Iteration 33 [342.4 s]: HR = 0.6401, NDCG = 0.3678, loss = 0.2637 [6.9 s]
Iteration 34 [309.6 s]: HR = 0.6358, NDCG = 0.3682, loss = 0.2636 [7.2 s]
Iteration 35 [387.0 s]: HR = 0.6394, NDCG = 0.3700, loss = 0.2635 [11.3 s]
Iteration 36 [343.8 s]: HR = 0.6421, NDCG = 0.3716, loss = 0.2633 [10.7 s]
Iteration 37 [333.3 s]: HR = 0.6364, NDCG = 0.3680, loss = 0.2631 [2.7 s]
Iteration 38 [313.3 s]: HR = 0.6384, NDCG = 0.3671, loss = 0.2629 [6.2 s]
Iteration 39 [293.8 s]: HR = 0.6382, NDCG = 0.3692, loss = 0.2628 [6.2 s]
Iteration 40 [328.2 s]: HR = 0.6422, NDCG = 0.3719, loss = 0.2628 [6.6 s]
Iteration 41 [343.5 s]: HR = 0.6402, NDCG = 0.3733, loss = 0.2628 [6.6 s]
Iteration 42 [331.1 s]: HR = 0.6422, NDCG = 0.3730, loss = 0.2628 [6.5 s]
Iteration 43 [406.5 s]: HR = 0.6432, NDCG = 0.3717, loss = 0.2626 [6.9 s]
Iteration 44 [396.7 s]: HR = 0.6406, NDCG = 0.3712, loss = 0.2624 [10.1 s]
Iteration 45 [360.0 s]: HR = 0.6429, NDCG = 0.3730, loss = 0.2624 [7.6 s]
Iteration 46 [349.1 s]: HR = 0.6467, NDCG = 0.3739, loss = 0.2625 [5.8 s]
Iteration 47 [318.3 s]: HR = 0.6407, NDCG = 0.3731, loss = 0.2625 [6.8 s]
Iteration 48 [313.1 s]: HR = 0.6464, NDCG = 0.3770, loss = 0.2620 [9.9 s]
Iteration 49 [376.9 s]: HR = 0.6467, NDCG = 0.3768, loss = 0.2621 [10.1 s]
End. Best Iteration 23:  HR = 0.6477, NDCG = 0.3729.
The best MLP model is saved to Pretrain/ml-1m_MLP_[16,32,32,64]_1736414010.h5

#################### MLP factor 64 reproduce ####################################
python MLP.py --dataset ml-1m --epochs 30 --batch_size 256 --layers [128,256,128,64] --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Init: HR = 0.0970, NDCG = 0.0429 [16.7]
Iteration 0 [546.1 s]: HR = 0.5522, NDCG = 0.3094, loss = 0.3375 [21.1 s]
Iteration 1 [528.2 s]: HR = 0.6131, NDCG = 0.3498, loss = 0.2903 [13.4 s]
Iteration 2 [481.1 s]: HR = 0.6482, NDCG = 0.3720, loss = 0.2711 [23.6 s]
Iteration 3 [662.3 s]: HR = 0.6624, NDCG = 0.3926, loss = 0.2597 [26.9 s]
Iteration 4 [638.0 s]: HR = 0.6765, NDCG = 0.4019, loss = 0.2514 [18.9 s]
Iteration 5 [619.2 s]: HR = 0.6841, NDCG = 0.4053, loss = 0.2449 [24.2 s]
Iteration 6 [627.3 s]: HR = 0.6894, NDCG = 0.4142, loss = 0.2399 [24.1 s]
Iteration 7 [604.6 s]: HR = 0.6911, NDCG = 0.4164, loss = 0.2357 [22.9 s]
Iteration 8 [652.1 s]: HR = 0.6911, NDCG = 0.4145, loss = 0.2317 [21.9 s]
Iteration 9 [643.1 s]: HR = 0.7035, NDCG = 0.4261, loss = 0.2280 [19.7 s]
Iteration 10 [649.4 s]: HR = 0.6947, NDCG = 0.4202, loss = 0.2248 [21.3 s]
Iteration 11 [608.0 s]: HR = 0.6945, NDCG = 0.4231, loss = 0.2217 [21.8 s]
Iteration 12 [600.9 s]: HR = 0.6965, NDCG = 0.4225, loss = 0.2190 [19.8 s]
Iteration 13 [601.2 s]: HR = 0.7017, NDCG = 0.4241, loss = 0.2162 [25.1 s]
Iteration 14 [617.6 s]: HR = 0.6947, NDCG = 0.4272, loss = 0.2134 [20.7 s]
Iteration 15 [636.7 s]: HR = 0.6942, NDCG = 0.4245, loss = 0.2112 [22.8 s]
Iteration 16 [647.1 s]: HR = 0.6950, NDCG = 0.4251, loss = 0.2091 [22.6 s]
Iteration 17 [615.9 s]: HR = 0.6954, NDCG = 0.4241, loss = 0.2070 [22.7 s]
Iteration 18 [631.5 s]: HR = 0.6942, NDCG = 0.4246, loss = 0.2050 [21.6 s]
Iteration 19 [639.4 s]: HR = 0.6914, NDCG = 0.4239, loss = 0.2031 [17.8 s]
Iteration 20 [549.2 s]: HR = 0.6887, NDCG = 0.4238, loss = 0.2015 [18.6 s]
Iteration 21 [624.6 s]: HR = 0.6907, NDCG = 0.4237, loss = 0.2000 [20.5 s]
Iteration 22 [905.2 s]: HR = 0.6891, NDCG = 0.4220, loss = 0.1982 [21.1 s]
Iteration 23 [588.7 s]: HR = 0.6828, NDCG = 0.4216, loss = 0.1968 [18.2 s]
Iteration 24 [669.6 s]: HR = 0.6844, NDCG = 0.4206, loss = 0.1951 [19.0 s]
Iteration 25 [649.0 s]: HR = 0.6838, NDCG = 0.4212, loss = 0.1944 [19.8 s]
Iteration 26 [663.6 s]: HR = 0.6874, NDCG = 0.4203, loss = 0.1930 [19.8 s]
Iteration 27 [532.9 s]: HR = 0.6843, NDCG = 0.4204, loss = 0.1918 [17.2 s]
Iteration 28 [559.0 s]: HR = 0.6795, NDCG = 0.4188, loss = 0.1907 [16.3 s]
Iteration 29 [525.6 s]: HR = 0.6765, NDCG = 0.4158, loss = 0.1899 [17.6 s]
End. Best Iteration 9:  HR = 0.7035, NDCG = 0.4261.

################################# NeuMF NeuMF w/o pretrained factor8 ####################################
python NeuMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 8 --layers [16,32,16,8] --reg_mf 0 --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Init: HR = 0.1084, NDCG = 0.0489
Iteration 0 [38.0 s]: HR = 0.5876, NDCG = 0.3325, loss = 0.3195 [1.5 s]
Iteration 1 [25.1 s]: HR = 0.6334, NDCG = 0.3624, loss = 0.2769 [1.5 s]
Iteration 2 [24.8 s]: HR = 0.6459, NDCG = 0.3730, loss = 0.2667 [1.5 s]
Iteration 3 [25.2 s]: HR = 0.6550, NDCG = 0.3778, loss = 0.2624 [1.5 s]
Iteration 4 [25.4 s]: HR = 0.6621, NDCG = 0.3879, loss = 0.2594 [1.5 s]
Iteration 5 [25.5 s]: HR = 0.6685, NDCG = 0.3899, loss = 0.2570 [1.5 s]
Iteration 6 [25.6 s]: HR = 0.6712, NDCG = 0.3949, loss = 0.2549 [1.5 s]
Iteration 7 [25.3 s]: HR = 0.6692, NDCG = 0.3942, loss = 0.2537 [1.5 s]
Iteration 8 [25.7 s]: HR = 0.6768, NDCG = 0.4002, loss = 0.2526 [1.5 s]
